track_id,bpm,musical_key,camelot,energy,groove,vocal,role,source,confidence
spotify-1GBBbKOarAJ38HwIfLcOji,127.0,C major,8B,0.835,techno,0.422,peak,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/chris-avantgarde-eternity-massano-remix-extended-mix,0.9
spotify-6mAIXsvt8eEIKSskw3YPth,125.0,D minor,7A,0.529,techno,0.172,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/anyma-hypnotized,0.82
spotify-6XqcxYifLCONJ1UWIX6HHZ,126.0,E minor,9A,0.531,techno,0.673,vocal,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 6XqcxYifLCONJ1UWIX6HHZ,0.64
spotify-7KxCyR3pCUqH136EvCDMun,128.0,E minor,9A,0.74,techno,0.543,lifter,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 7KxCyR3pCUqH136EvCDMun,0.64
spotify-5z9gPjsnHWvSj6F8rP50Pu,123.0,F# minor,11A,0.52,afro,0.327,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 5z9gPjsnHWvSj6F8rP50Pu,0.64
spotify-4dJVDcdrTwB0sDBbw4TfXR,129.0,D# major,5B,0.731,techno,0.32,lifter,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/argy-window-shake,0.82
spotify-0Qp3W3eVtMJstjG8wOGYTY,123.0,D# minor,2A,0.533,afro,0.313,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/lews-you-extended-mix,0.9
spotify-35dt2bP4CcBzepyufQbvYZ,125.0,G minor,6A,0.573,afro,0.332,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/shimza-fire-fire-extended-mix,0.9
spotify-3hH3ypxqE0JwYq4mfyYmlD,120.0,A# minor,3A,0.404,afro,0.334,opener,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/nico-santos-body-extended-mix,0.9
spotify-3oKi7Fp9JhDLTKaW6fZLwO,133.0,E minor,9A,0.743,afro,0.684,vocal,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 3oKi7Fp9JhDLTKaW6fZLwO,0.64
spotify-3VXJln5ZvlvzbsjJFhRhZE,120.0,G# minor,1A,0.445,afro,0.182,opener,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/daytona-addicted-feat-timid-extended-mix,0.9
spotify-4zBLxrB4WI9tu7wO9PIJM3,123.0,G# minor,1A,0.613,tribal,0.04,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 4zBLxrB4WI9tu7wO9PIJM3,0.64
spotify-5ZUIPLoTLJZrPQh2kFZEUM,120.0,F minor,4A,0.701,techno,0.189,closer,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/ink-addicted,0.9
spotify-0LGUxRAobq2shxKN3xtnMJ,117.0,F# minor,11A,0.507,afro,0.461,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 0LGUxRAobq2shxKN3xtnMJ,0.64
spotify-0ntYber3YdK1ESxE9LiXoc,120.0,G# minor,1A,0.489,afro,0.176,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph same-recording: https://www.mixgraph.io/tracks/adam-port-move-feat-malachiii,0.74
spotify-2D9coh76MCXNqDEUCHl5vl,118.0,G# minor,1A,0.492,afro,0.03,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/russi-awgazi-extended-mix,0.82
spotify-418UFQyQAk6qukmov5uHlr,120.0,C# major,3B,0.695,afro,0.403,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 418UFQyQAk6qukmov5uHlr,0.64
spotify-5nPbKG04fhLkIAjcPFaZq7,120.0,B minor,10A,0.714,afro,0.223,lifter,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/hugel-i-adore-you-extended-mix,0.82
spotify-76952ZbAHlgMqrIEMqYkgB,101.0,G# minor,1A,0.429,afro,0.104,opener,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph same-recording: https://www.mixgraph.io/tracks/mikeeysmind-papaoutai-afro-soul ; manual conflict resolution: https://songbpm.com/%40mikeeysmind/papaoutai-afro-soul-ezdtd | https://trackify.am/track/76952ZbAHlgMqrIEMqYkgB/tempo,0.86
spotify-7BM311QgIRlXRTZsPCIsQP,120.0,G# minor,1A,0.476,afro,0.52,builder,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 7BM311QgIRlXRTZsPCIsQP,0.64
spotify-0KVxwBlnjoxP9BOnZ4OfHo,120.0,G minor,6A,0.485,afro,0.62,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 0KVxwBlnjoxP9BOnZ4OfHo,0.64
spotify-0smB5zD5CJYMtdXvS2qS5A,120.0,E minor,9A,0.464,afro,0.581,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 0smB5zD5CJYMtdXvS2qS5A,0.64
spotify-1lIT2ZiOQetROcnkCRK4pf,125.0,C# major,3B,0.643,afro,0.516,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 1lIT2ZiOQetROcnkCRK4pf,0.64
spotify-1o9D0rUusi2V5idyOEOPII,126.0,A minor,8A,0.853,afro,0.697,vocal,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 1o9D0rUusi2V5idyOEOPII,0.64
spotify-2jWZ9NZotZb2hN5obKx2FA,120.0,G minor,6A,0.565,afro,0.359,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/preston-harris-loosen-up-extended-mix,0.9
spotify-4hC6vZO3aw9SlsmMboQVJE,117.0,D# minor,2A,0.623,afro,0.387,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 4hC6vZO3aw9SlsmMboQVJE,0.64
spotify-62zDU1uPbP5VzM1QEgPnae,120.0,C# major,3B,0.52,afro,0.512,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 62zDU1uPbP5VzM1QEgPnae,0.64
spotify-0bruK7CIEhyQO8tzeRTnjg,122.0,F# major,2B,0.802,techno,0.228,peak,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/hotlap-waitin-extended-mix,0.82
spotify-2bR6kl5tv8SU8Ps0mrH8Wy,120.0,F minor,4A,0.597,afro,0.213,bridge,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/malou-feel-the-love-hotlap-extended-remix,0.82
spotify-4gACQVwjtFrI0NdK5n4idc,122.0,G# minor,1A,0.685,afro,0.362,bridge,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/touzani-lets-work-extended-mix,0.9
spotify-54LuSuR8NpNvmqL8VohoUy,124.0,F# major,2B,0.742,techno,0.345,lifter,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/hotlap-sunbeam,0.82
spotify-5JT9hOxKU03tW2VA80Q8X7,124.0,E minor,9A,0.765,afro,0.383,lifter,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/bletter-hey-mama-extended-mix,0.82
spotify-0V9raTkW24E3mrf7ZemeNB,122.0,G major,9B,0.489,afro,0.465,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 0V9raTkW24E3mrf7ZemeNB,0.64
spotify-1wOdMqYDHqILKGco6AbKdB,124.0,D major,10B,0.752,techno,0.227,lifter,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/pole-position-touch-me-hotlap-remix,0.9
spotify-1wWXUVWny5JJHxMvsAjAxD,120.0,E major,12B,0.661,techno,0.425,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/hotlap-commas,0.82
spotify-2KuQ9Au4R0WasDJ8fDRHxT,122.0,D# major,5B,0.786,techno,0.253,lifter,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/hotlap-shelter-extended-mix,0.82
spotify-6VSPib5LDroLjQXXVk50gd,126.0,D major,10B,0.905,afro,0.419,peak,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 6VSPib5LDroLjQXXVk50gd,0.64
spotify-7k0kq03bs3micRAVvYgzg8,125.0,G major,9B,0.618,house,0.314,reset,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/shells-you-i-feat-shells-extended,0.82
spotify-45cq4eLrpEyFbsa75bLteB,122.0,G minor,6A,0.709,afro,0.629,lifter,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 45cq4eLrpEyFbsa75bLteB,0.64
spotify-6jkHEZaCSCOQ7M7Cwnw91Q,120.0,A minor,8A,0.284,afro,0.491,opener,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 6jkHEZaCSCOQ7M7Cwnw91Q,0.64
spotify-6nuH5zRlWzuzZr9fA4IcpY,124.0,F# major,2B,0.719,afro,0.135,lifter,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/david-eusse-no-more,0.82
