spotify_id,title,artist,playlists,identity_match,preview_bpm,source_bpm,bpm_final,bpm_agreement,preview_camelot,source_camelot,musical_key_final,camelot_final,key_agreement,energy_final,source_energy,groove_final,source_genres,vocal_final,role_final,confidence_final,evidence
5KhyfCzCrjGfCRKHruIUl7,Quiver,"Colbora, CVALM, Budai House Clique","Techno, Afro, Soul & EDM | Techno Vibezz",exact-id,120.0,120.0,120.0,true,9B,9B,G major,9B,true,0.543,0.680501316,techno,Melodic House & Techno,0.418,builder,0.9,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/colbora-quiver
7crWP5nmpVQunuekqftSEr,Yapa,"Josef Schumacher, Tobi Xander","Techno, Afro, Soul & EDM | Techno Vibezz",exact-id,123.0,123.0,123.0,true,9A,12B,E major,12B,false,0.876,0.994266435,afro,Afro House,0.128,peak,0.82,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/josef-schumacher-yapa-extended-mix
28HAfQASgRFtJiJO95P0RY,Senolo,AFRONOM,"Techno, Afro, Soul & EDM | Afro Vibezz",exact-id,123.0,123.0,123.0,true,7A,7A,D minor,7A,true,0.721,0.744519881,afro,Afro House,0.23,lifter,0.9,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/afronom-senolo-extended-mix
0OhOvavl37Rul1t8TlBMcv,Need U,Mydoz,"Techno, Afro, Soul & EDM | Afro Vibezz",exact-id,123.0,123.0,123.0,true,8A,8A,A minor,8A,true,0.428,0.491889715,afro,Afro House | Afro / Latin,0.31,opener,0.9,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/mydoz-need-u-extended-mix
5BhdMEXbQirRV4QYHoz96P,Eres Para Mí - Radio Edit,Nico Falla,"Techno, Afro, Soul & EDM | Tech House Vibezz",preview-only,126.0,,126.0,false,10A,,B minor,10A,false,0.41,,tech-house,,0.461,opener,0.64,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 5BhdMEXbQirRV4QYHoz96P
4OHTMdFofGPrSZJqKn4yBm,LA TRAVESÍA (Tech House),ToniTega,"Techno, Afro, Soul & EDM | Tech House Vibezz",preview-only,128.0,,128.0,false,12B,,E major,12B,false,0.457,,tech-house,,0.255,opener,0.64,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 4OHTMdFofGPrSZJqKn4yBm
6oNdUnlUnXFDsiMY6yC1ti,Happy Days - Radio Edit,Sweetpower,"Techno, Afro, Soul & EDM | House Vibezz",preview-only,123.0,,123.0,false,11A,,F# minor,11A,false,0.662,,house,,0.268,reset,0.64,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 6oNdUnlUnXFDsiMY6yC1ti
5ARMoO6PMW5XzN00dwTYW2,Suéltate,Greg Elenis,"Techno, Afro, Soul & EDM | House Vibezz",preview-only,120.0,,120.0,false,4A,,F minor,4A,false,0.694,,house,,0.682,closer,0.64,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 5ARMoO6PMW5XzN00dwTYW2
28Dw5KTUvyauj8RZnc8r2N,Celular,Sistek,"Techno, Afro, Soul & EDM | Afro Vibezz",preview-only,125.0,,125.0,false,5B,,D# major,5B,false,0.845,,afro,,0.521,peak,0.64,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 28Dw5KTUvyauj8RZnc8r2N
32Yqrfs4BwDhCmF78Y3he9,Contigo Riddim,Malik,"Techno, Afro, Soul & EDM | Afro Vibezz",preview-only,122.0,,122.0,false,10A,,B minor,10A,false,0.488,,afro,,0.364,reset,0.64,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 32Yqrfs4BwDhCmF78Y3he9
200DiJQhDi69nkGXOrrJgn,The Rapture Pt.III,"&ME, Black Coffee, Keinemusik","Techno, Afro, Soul & EDM | Afro Vibezz",exact-id,120.0,120.0,120.0,true,9A,9A,E minor,9A,true,0.357,0.176232145,techno,Melodic House & Techno,0.458,opener,0.9,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/me-the-rapture-ptiii
2GwsSbo6IbNDVvcm9rtmal,Say What,"Rampa, Adam Port, &ME, chuala, Keinemusik","Techno, Afro, Soul & EDM | Afro Vibezz",exact-id,120.0,120.0,120.0,true,10B,8B,C major,8B,false,0.568,0.450197954,afro,Afro House,0.164,reset,0.82,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/rampa-say-what-feat-chuala
093uABBO0VQxuHUgr4na2C,After Everything,Miiles44,"Techno, Afro, Soul & EDM | House Vibezz",preview-only,112.0,,112.0,false,10A,,B minor,10A,false,0.579,,house,,0.533,reset,0.64,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 093uABBO0VQxuHUgr4na2C
1de6YDcMK93DRCIv71DPYA,Where Did Your Love Go,"Moonshine, Sincerely Suav","Techno, Afro, Soul & EDM | House Vibezz",preview-only,112.0,,112.0,false,4A,,F minor,4A,false,0.57,,house,,0.502,reset,0.64,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 1de6YDcMK93DRCIv71DPYA
4JdJb1IvZ2AacLemLGonDy,Hello (The Sun Is Up Where Are You),Mizmo,"Techno, Afro, Soul & EDM | House Vibezz",same-recording,125.0,124.0,124.0,true,4A,4A,F minor,4A,true,0.441,0.417649057,house,Electronica,0.044,opener,0.74,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph same-recording: https://www.mixgraph.io/tracks/mizmo-hello-the-sun-is-up-where-are-you
72qknjLxZXE6iE6h27sIHY,nobody (make me feel),"oskar med k, Khalid","Techno, Afro, Soul & EDM | House Vibezz",exact-id,125.0,125.0,125.0,true,11A,11A,F# minor,11A,true,0.52,0.555983501,house,Pop,0.095,builder,0.9,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/khalid-nobody-make-me-feel
0l7cfP9dZBrkkNkR7NXnQO,Gimme That Bounce,Mau P,"Techno, Afro, Soul & EDM | Tech House Vibezz",preview-only,126.0,,126.0,false,5B,,D# major,5B,false,0.904,,tech-house,,0.321,peak,0.86,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 0l7cfP9dZBrkkNkR7NXnQO ; manual conflict resolution: https://www.beatport.com/track/gimme-that-bounce/17394497 | https://www.mixgraph.io/tracks/mau-p-gimme-that-bounce
10pfamFYvg5ftwq6rGJrWx,Can't Decide,"Max Dean, Luke Dean, Locky","Techno, Afro, Soul & EDM | Tech House Vibezz",preview-only,131.0,,131.0,false,4B,,G# major,4B,false,0.431,,tech-house,,0.278,opener,0.64,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 10pfamFYvg5ftwq6rGJrWx
3DqOJ2BoddzZpNdty3okJH,RIZZ,AYYBO,"Techno, Afro, Soul & EDM | Tech House Vibezz",exact-id,128.0,127.0,127.0,true,9B,6A,G minor,6A,false,0.552,0.546181533,tech-house,Tech House,0.303,reset,0.82,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/ayybo-rizz-extended-mix
6KrrcOQiX7NQ4h038wKTUy,neck,Mau P,"Techno, Afro, Soul & EDM | Tech House Vibezz",exact-id,129.0,129.0,129.0,true,9B,10A,B minor,10A,false,0.729,0.77324667,tech-house,Tech House,0.296,lifter,0.82,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/mau-p-neck-extended-mix
0PaZ052mHgQ1Ky2uDoa6Tr,Take It Away,"Lucas Estrada, Heliograph, Palm Brothers, Palau","Techno, Afro, Soul & EDM | Afro Vibezz",preview-only,120.0,,120.0,false,10B,,D major,10B,false,0.503,,afro,,0.564,reset,0.64,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 0PaZ052mHgQ1Ky2uDoa6Tr
0tlAgfYIDCcJ3qxP9nzmHE,Hypnotized,"Lucas Estrada, Heliograph, Samuel Prince","Techno, Afro, Soul & EDM | Afro Vibezz",preview-only,123.0,,123.0,false,11A,,F# minor,11A,false,0.331,,afro,,0.524,opener,0.64,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 0tlAgfYIDCcJ3qxP9nzmHE
1WEvnyNP1MxPnMsYqFd3dk,Your Love,"Heliograph, Amè","Techno, Afro, Soul & EDM | Afro Vibezz",preview-only,120.0,,120.0,false,4A,,F minor,4A,false,0.451,,afro,,0.264,opener,0.64,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 1WEvnyNP1MxPnMsYqFd3dk
1YH2pK01IAb9S7JiKT1MPu,You're So Bad,"Lucas Estrada, Heliograph, Samuel Prince","Techno, Afro, Soul & EDM | Afro Vibezz",preview-only,122.0,,122.0,false,11A,,F# minor,11A,false,0.829,,afro,,0.591,peak,0.64,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 1YH2pK01IAb9S7JiKT1MPu
2aTHmDr4tQkdJmVPJyfmgL,Nuthin’ But A “G” Thang,"aMouse, Heliograph","Techno, Afro, Soul & EDM | Afro Vibezz",preview-only,117.0,,117.0,false,1B,,B major,1B,false,0.728,,afro,,0.547,lifter,0.64,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 2aTHmDr4tQkdJmVPJyfmgL
3Bnc1jf9daAooE7dfYZkV4,We Dance,"Lucas Estrada, Heliograph, Palau","Techno, Afro, Soul & EDM | Afro Vibezz",preview-only,117.0,,117.0,false,3B,,C# major,3B,false,0.537,,afro,,0.436,reset,0.64,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 3Bnc1jf9daAooE7dfYZkV4
3CGJ2KUaPOprDlKz9XgiF7,One Kiss,"Heliograph, Palau","Techno, Afro, Soul & EDM | Afro Vibezz",preview-only,122.0,,122.0,false,2A,,D# minor,2A,false,0.51,,afro,,0.625,reset,0.64,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 3CGJ2KUaPOprDlKz9XgiF7
3dXrYAexwAonlygTs1cDOn,Moonlight,Heliograph,"Techno, Afro, Soul & EDM | Afro Vibezz",preview-only,122.0,,122.0,false,10B,,D major,10B,false,0.466,,afro,,0.594,reset,0.64,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 3dXrYAexwAonlygTs1cDOn
6M7jWqrOtwMxycjbYXhipu,Love Everything You Do,Heliograph,"Techno, Afro, Soul & EDM | Afro Vibezz",exact-id,120.0,120.0,120.0,true,1A,1A,G# minor,1A,true,0.609,0.719297883,afro,African | Afrobeats,0.173,reset,0.9,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/heliograph-love-everything-you-do
7LapSXUTWUXy5r55fSi9gf,Dale Papi,"Vidojean X Oliver Loenn, Heliograph, Berat Oz","Techno, Afro, Soul & EDM | Afro Vibezz",preview-only,120.0,,120.0,false,11A,,F# minor,11A,false,0.533,,afro,,0.511,reset,0.64,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 7LapSXUTWUXy5r55fSi9gf
7uS9LjYK2CV7WGWj44tYV7,Sweat,Heliograph,"Techno, Afro, Soul & EDM | Afro Vibezz",preview-only,126.0,,126.0,false,10B,,D major,10B,false,0.598,,afro,,0.621,reset,0.64,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 7uS9LjYK2CV7WGWj44tYV7
21fAjb3K01LujY841IMbtA,Ira - Yubik Remix,"Enai, Yubik","Techno, Afro, Soul & EDM | Techno Vibezz",exact-id,123.0,123.0,123.0,true,5A,5A,C minor,5A,true,0.53,0.480410644,techno,Melodic House & Techno,0.05,reset,0.9,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/enai-ira-yubik-remix
22LA2VZOMM5TEFA7yu1o9B,World's Perception - Enai Remix,"Hollt, Enai","Techno, Afro, Soul & EDM | Techno Vibezz",preview-only,125.0,,125.0,false,7A,,D minor,7A,false,0.906,,techno,,0.388,peak,0.64,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 22LA2VZOMM5TEFA7yu1o9B
30Z6Dp5Ddy6FN3xjm1XXLS,DONA,"Argy, Omiki","Techno, Afro, Soul & EDM | Techno Vibezz",exact-id,132.0,132.0,132.0,true,5B,5B,D# major,5B,true,0.649,0.760781153,techno,Melodic House & Techno,0.189,reset,0.9,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/argy-dona
3s7tZDGRWJ4wL8x9na9MKE,Dream,Ontonic,"Techno, Afro, Soul & EDM | Techno Vibezz",exact-id,120.0,120.0,120.0,true,1B,10A,B minor,10A,false,0.589,0.784959908,techno,Melodic House & Techno | Melodic House,0.511,bridge,0.82,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/ontonic-dream
6n9Nhx5nhAPrsnjQpL8zna,Giza,"Anyma, 19:26","Techno, Afro, Soul & EDM | Techno Vibezz",preview-only,131.0,,130.0,false,6A,,G minor,6A,false,0.714,,techno,,0.578,lifter,0.86,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 6n9Nhx5nhAPrsnjQpL8zna ; manual conflict resolution: https://www.beatport.com/track/giza/26747145 | Spotify public preview analysis
6u5uJUkN4Virf2lLxRCcve,Universe,Ontonic,"Techno, Afro, Soul & EDM | Techno Vibezz",exact-id,120.0,120.0,120.0,true,2A,2B,F# major,2B,false,0.394,0.45403164,techno,Melodic House & Techno,0.277,opener,0.82,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/ontonic-universe
2da0QdMmeCnZURi2Pdy2Sj,Lavisa,Jason Padrone,"Techno, Afro, Soul & EDM | Afro Vibezz",preview-only,120.0,,120.0,false,6A,,G minor,6A,false,0.842,,afro,,0.801,vocal,0.64,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 2da0QdMmeCnZURi2Pdy2Sj
2yejwvLnmVFtwrMQlaRWgP,El Dorado,"HotLap, UVITA","Techno, Afro, Soul & EDM | Afro Vibezz",exact-id,120.0,120.0,120.0,true,11A,2B,F# major,2B,false,0.844,0.809818311,afro,Afro House,0.353,peak,0.82,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/hotlap-el-dorado
5jpXBy9DB4kbuNLwGceYOy,Mind,"KEKURA, Kalyma, YOSHE","Techno, Afro, Soul & EDM | Afro Vibezz",preview-only,122.0,,122.0,false,2B,,F# major,2B,false,0.657,,afro,,0.763,vocal,0.64,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 5jpXBy9DB4kbuNLwGceYOy
0G6r9pghzSm8gGfgV64pHn,Melodia,"Argy, MEDUZA, PollyAnna","Techno, Afro, Soul & EDM | Techno Vibezz",preview-only,132.0,,132.0,false,3A,,A# minor,3A,false,0.239,,techno,,0.578,opener,0.64,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 0G6r9pghzSm8gGfgV64pHn
1GBBbKOarAJ38HwIfLcOji,Eternity,"Anyma, Chris Avantgarde","Techno, Afro, Soul & EDM | Techno Vibezz",exact-id,125.0,127.0,127.0,true,8B,8B,C major,8B,true,0.835,0.864415498,techno,Melodic House & Techno,0.422,peak,0.9,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/chris-avantgarde-eternity-massano-remix-extended-mix
6mAIXsvt8eEIKSskw3YPth,Hypnotized (feat. Ellie Goulding),"Anyma, Ellie Goulding","Techno, Afro, Soul & EDM | Techno Vibezz",exact-id,125.0,125.0,125.0,true,9B,7A,D minor,7A,false,0.529,0.526251338,techno,Dance,0.172,reset,0.82,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/anyma-hypnotized
6XqcxYifLCONJ1UWIX6HHZ,Puer,Cherry (UA),"Techno, Afro, Soul & EDM | Techno Vibezz",preview-only,126.0,,126.0,false,9A,,E minor,9A,false,0.531,,techno,,0.673,vocal,0.64,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 6XqcxYifLCONJ1UWIX6HHZ
7KxCyR3pCUqH136EvCDMun,Pictures Of You - Cassian Remix,"Anyma, Cassian","Techno, Afro, Soul & EDM | Techno Vibezz",preview-only,128.0,,128.0,false,9A,,E minor,9A,false,0.74,,techno,,0.543,lifter,0.64,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 7KxCyR3pCUqH136EvCDMun
5z9gPjsnHWvSj6F8rP50Pu,Do U Wanna (Extended Mix),"Naarly, Moonshine, Lucas Estrada","Techno, Afro, Soul & EDM | Afro Vibezz",preview-only,123.0,,123.0,false,11A,,F# minor,11A,false,0.52,,afro,,0.327,reset,0.64,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-title search performed; no exact recording match for Spotify 5z9gPjsnHWvSj6F8rP50Pu
4dJVDcdrTwB0sDBbw4TfXR,Window Shake,"Argy, SOLANCE","Techno, Afro, Soul & EDM | Techno Vibezz",exact-id,129.0,129.0,129.0,true,2A,5B,D# major,5B,false,0.731,0.732243444,techno,Melodic House & Techno,0.32,lifter,0.82,Spotify public 30s preview: beat/chroma/HPSS/RMS/onset structural analysis ; Mixgraph exact-id: https://www.mixgraph.io/tracks/argy-window-shake
